date,Open,High,Low,Close,Volume
2023-07-27 04:00:00,423.01,425.61,423.01,425.0,1150.0
2023-07-27 04:01:00,425.43,427.26,425.0,427.26,677.0
2023-07-27 04:02:00,427.19,427.19,426.0,426.7,341.0
2023-07-27 04:03:00,426.76,427.01,426.65,426.84,140.0
2023-07-27 04:04:00,426.84,427.64,426.84,427.49,117.0
2023-07-27 04:05:00,427.3,427.82,426.52,426.54,174.0
2023-07-27 04:06:00,427.25,427.25,427.25,427.25,39.0
2023-07-27 04:07:00,427.14,427.6,427.09,427.6,4.0
2023-07-27 04:08:00,427.2,427.6,427.0,427.6,96.0
2023-07-27 04:09:00,427.6,427.82,427.3,427.3,128.0
2023-07-27 04:10:00,427.79,427.82,427.2,427.2,17.0
2023-07-27 04:11:00,427.3,427.3,427.2,427.3,11.0
2023-07-27 04:12:00,427.2,427.7,427.17,427.3,13.0
2023-07-27 04:13:00,427.2,427.7,427.2,427.2,35.0
2023-07-27 04:14:00,427.68,427.68,427.21,427.21,15.0
2023-07-27 04:16:00,427.67,427.67,427.35,427.35,35.0
2023-07-27 04:17:00,427.41,427.41,427.41,427.41,25.0
2023-07-27 04:18:00,427.64,427.68,427.64,427.67,34.0
2023-07-27 04:19:00,427.47,427.47,427.47,427.47,10.0
2023-07-27 04:20:00,427.7,427.82,427.55,427.55,212.0
2023-07-27 04:21:00,427.7,427.7,427.53,427.53,91.0
2023-07-27 04:22:00,427.4,427.49,427.0,427.0,200.0
2023-07-27 04:23:00,427.0,427.0,426.79,426.93,100.0
2023-07-27 04:24:00,426.95,426.95,426.94,426.94,14.0
2023-07-27 04:25:00,426.94,427.0,426.94,427.0,184.0
2023-07-27 04:26:00,426.97,427.0,426.97,427.0,122.0
2023-07-27 04:27:00,427.16,427.7,427.16,427.7,45.0
2023-07-27 04:28:00,427.6,427.6,427.6,427.6,10.0
2023-07-27 04:30:00,427.58,427.58,427.58,427.58,3.0
2023-07-27 04:31:00,427.17,427.58,427.17,427.5,204.0
2023-07-27 04:32:00,427.52,427.53,427.5,427.5,164.0
2023-07-27 04:33:00,427.48,427.48,427.48,427.48,1.0
2023-07-27 04:34:00,427.45,427.45,427.45,427.45,1.0
2023-07-27 04:35:00,427.45,427.61,427.45,427.45,401.0
2023-07-27 04:36:00,427.24,427.24,427.24,427.24,2.0
2023-07-27 04:37:00,427.15,427.3,426.92,427.27,102.0
2023-07-27 04:38:00,426.92,426.92,426.92,426.92,2.0
2023-07-27 04:39:00,426.77,427.39,426.77,427.39,50.0
2023-07-27 04:40:00,427.0,427.0,426.88,427.0,20.0
2023-07-27 04:41:00,427.0,427.0,427.0,427.0,2.0
2023-07-27 04:42:00,427.08,427.19,427.08,427.19,5.0
2023-07-27 04:43:00,427.07,427.07,426.57,426.57,91.0
2023-07-27 04:44:00,427.0,427.0,426.5,426.5,20.0
2023-07-27 04:45:00,427.19,427.19,427.19,427.19,3.0
2023-07-27 04:46:00,427.0,427.04,426.53,427.04,8.0
2023-07-27 04:47:00,426.91,426.93,426.8,426.85,65.0
2023-07-27 04:50:00,426.5,426.8,426.5,426.8,4.0
2023-07-27 04:51:00,426.8,427.19,426.8,427.19,210.0
2023-07-27 04:52:00,427.19,427.19,427.19,427.19,3.0
2023-07-27 04:53:00,426.6,426.6,426.6,426.6,1.0
2023-07-27 04:54:00,427.1,427.1,427.1,427.1,2.0
2023-07-27 04:57:00,426.98,427.13,426.98,427.05,32.0
2023-07-27 04:58:00,427.14,427.14,427.14,427.14,1.0
2023-07-27 04:59:00,427.1,427.19,427.1,427.19,2.0
2023-07-27 05:00:00,426.61,426.61,426.61,426.61,9.0
2023-07-27 05:01:00,427.01,427.01,426.8,426.8,11.0
2023-07-27 05:02:00,426.64,426.64,426.64,426.64,1.0
2023-07-27 05:07:00,426.76,426.76,426.76,426.76,1.0
2023-07-27 05:08:00,426.76,426.76,426.76,426.76,1.0
2023-07-27 05:09:00,426.8,426.8,426.8,426.8,1.0
2023-07-27 05:10:00,426.8,426.87,426.66,426.66,44.0
2023-07-27 05:11:00,426.8,426.97,426.66,426.8,11.0
2023-07-27 05:12:00,426.99,427.05,426.99,427.05,2.0
2023-07-27 05:13:00,426.76,426.76,426.76,426.76,1.0
2023-07-27 05:14:00,426.96,427.14,426.76,427.14,17.0
2023-07-27 05:15:00,427.04,427.19,427.04,427.19,149.0
2023-07-27 05:16:00,427.19,427.19,427.19,427.19,52.0
2023-07-27 05:18:00,427.0,427.0,427.0,427.0,1.0
2023-07-27 05:19:00,426.9,426.9,426.9,426.9,5.0
2023-07-27 05:20:00,426.81,426.81,426.65,426.8,70.0
2023-07-27 05:21:00,426.8,426.83,426.8,426.83,8.0
2023-07-27 05:22:00,426.83,426.83,426.83,426.83,3.0
2023-07-27 05:27:00,426.69,426.69,426.68,426.68,13.0
2023-07-27 05:28:00,426.8,427.0,426.8,427.0,220.0
2023-07-27 05:29:00,427.14,427.14,427.14,427.14,10.0
2023-07-27 05:30:00,427.1,427.1,427.1,427.1,4.0
2023-07-27 05:34:00,427.0,427.0,426.83,427.0,28.0
2023-07-27 05:38:00,426.99,426.99,426.99,426.99,1.0
2023-07-27 05:39:00,426.75,426.75,426.62,426.62,100.0
2023-07-27 05:40:00,426.99,427.0,426.99,427.0,273.0
2023-07-27 05:41:00,426.7,426.7,426.7,426.7,1.0
2023-07-27 05:42:00,427.0,427.0,426.84,426.84,128.0
2023-07-27 05:43:00,426.84,426.84,426.84,426.84,5.0
2023-07-27 05:46:00,426.99,427.0,426.99,427.0,40.0
2023-07-27 05:47:00,426.64,426.84,426.64,426.84,2.0
2023-07-27 05:48:00,426.81,426.9,426.6,426.84,118.0
2023-07-27 05:49:00,426.84,426.87,426.65,426.65,26.0
2023-07-27 05:50:00,426.8,426.8,426.7,426.8,30.0
2023-07-27 05:51:00,426.95,426.95,426.95,426.95,4.0
2023-07-27 05:53:00,426.85,426.85,426.85,426.85,2.0
2023-07-27 05:54:00,426.93,426.93,426.93,426.93,1.0
2023-07-27 05:58:00,426.85,426.85,426.85,426.85,2.0
2023-07-27 05:59:00,426.8,426.8,426.8,426.8,3.0
2023-07-27 06:00:00,426.88,426.88,426.88,426.88,2.0
2023-07-27 06:01:00,426.89,426.89,426.89,426.89,2.0
2023-07-27 06:03:00,426.85,426.85,426.8,426.8,6.0
2023-07-27 06:04:00,426.89,426.89,426.89,426.89,8.0
2023-07-27 06:06:00,426.89,426.97,426.89,426.97,16.0
2023-07-27 06:07:00,427.0,427.0,427.0,427.0,30.0
